poem_id,prompt_id,iterations,schedule,emotion,measure,value,weight,weighted_value
2021-06-18-07-24-21,0,10,alpha,hated,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-24-21,0,10,alpha,hated,mean_alliteration_total,3.75,5,18.75
2021-06-18-07-24-21,0,10,alpha,hated,mean_couplet_phoneme_consistency,3.125,1,3.125
2021-06-18-07-25-01,0,10,alpha,independent,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-25-01,0,10,alpha,independent,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-25-01,0,10,alpha,independent,mean_alliteration_total,2.875,5,14.375
2021-06-18-07-25-01,0,10,alpha,independent,mean_couplet_phoneme_consistency,3.5,1,3.5
2021-06-18-07-25-46,0,10,alpha,free,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-25-46,0,10,alpha,free,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-25-46,0,10,alpha,free,mean_alliteration_total,3.875,5,19.375
2021-06-18-07-25-46,0,10,alpha,free,mean_couplet_phoneme_consistency,5.75,1,5.75
2021-06-18-07-26-40,0,10,alpha,attracted,mean_rhyme_level,0,100,0
2021-06-18-07-26-40,0,10,alpha,attracted,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-26-40,0,10,alpha,attracted,mean_alliteration_total,3.625,5,18.125
2021-06-18-07-26-40,0,10,alpha,attracted,mean_couplet_phoneme_consistency,4.875,1,4.875
2021-06-18-07-27-29,0,10,alpha,happy,mean_rhyme_level,0,100,0
2021-06-18-07-27-29,0,10,alpha,happy,mean_longest_alliteration_chain,1,50,50
2021-06-18-07-27-29,0,10,alpha,happy,mean_alliteration_total,3.5,5,17.5
2021-06-18-07-27-29,0,10,alpha,happy,mean_couplet_phoneme_consistency,3.25,1,3.25
2021-06-18-07-28-12,0,10,alpha,sad,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-28-12,0,10,alpha,sad,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-28-12,0,10,alpha,sad,mean_alliteration_total,2.625,5,13.125
2021-06-18-07-28-12,0,10,alpha,sad,mean_couplet_phoneme_consistency,4.25,1,4.25
2021-06-18-07-28-56,0,10,alpha,derailed,mean_rhyme_level,0,100,0
2021-06-18-07-28-56,0,10,alpha,derailed,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-28-56,0,10,alpha,derailed,mean_alliteration_total,2.75,5,13.75
2021-06-18-07-28-56,0,10,alpha,derailed,mean_couplet_phoneme_consistency,3,1,3
2021-06-18-07-29-44,0,10,alpha,average,mean_rhyme_level,0,100,0
2021-06-18-07-29-44,0,10,alpha,average,mean_longest_alliteration_chain,1,50,50
2021-06-18-07-29-44,0,10,alpha,average,mean_alliteration_total,3,5,15
2021-06-18-07-29-44,0,10,alpha,average,mean_couplet_phoneme_consistency,3.5,1,3.5
2021-06-18-07-30-38,0,10,alpha,powerless,mean_rhyme_level,0,100,0
2021-06-18-07-30-38,0,10,alpha,powerless,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-30-38,0,10,alpha,powerless,mean_alliteration_total,4.125,5,20.625
2021-06-18-07-30-38,0,10,alpha,powerless,mean_couplet_phoneme_consistency,2.75,1,2.75
2021-06-18-07-31-25,0,10,alpha,attached,mean_rhyme_level,0,100,0
2021-06-18-07-31-25,0,10,alpha,attached,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-31-25,0,10,alpha,attached,mean_alliteration_total,2.625,5,13.125
2021-06-18-07-31-25,0,10,alpha,attached,mean_couplet_phoneme_consistency,5.375,1,5.375
2021-06-18-07-32-09,0,10,alpha,angry,mean_rhyme_level,0,100,0
2021-06-18-07-32-09,0,10,alpha,angry,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-32-09,0,10,alpha,angry,mean_alliteration_total,3.125,5,15.625
2021-06-18-07-32-09,0,10,alpha,angry,mean_couplet_phoneme_consistency,3.25,1,3.25
2021-06-18-07-33-00,0,10,alpha,loved,mean_rhyme_level,0,100,0
2021-06-18-07-33-00,0,10,alpha,loved,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-33-00,0,10,alpha,loved,mean_alliteration_total,3,5,15
2021-06-18-07-33-00,0,10,alpha,loved,mean_couplet_phoneme_consistency,3.375,1,3.375
2021-06-18-07-33-39,0,10,alpha,cheated,mean_rhyme_level,0,100,0
2021-06-18-07-33-39,0,10,alpha,cheated,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-33-39,0,10,alpha,cheated,mean_alliteration_total,3.5,5,17.5
2021-06-18-07-33-39,0,10,alpha,cheated,mean_couplet_phoneme_consistency,4.625,1,4.625
2021-06-18-07-34-21,0,10,alpha,surprise,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-34-21,0,10,alpha,surprise,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-34-21,0,10,alpha,surprise,mean_alliteration_total,2.625,5,13.125
2021-06-18-07-34-21,0,10,alpha,surprise,mean_couplet_phoneme_consistency,5.125,1,5.125
2021-06-18-07-34-56,0,10,beta,apathetic,mean_rhyme_level,0.4375,100,43.75
2021-06-18-07-34-56,0,10,beta,apathetic,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-34-56,0,10,beta,apathetic,mean_alliteration_total,1.875,5,9.375
2021-06-18-07-34-56,0,10,beta,apathetic,mean_couplet_phoneme_consistency,4.875,1,4.875
2021-06-18-07-35-31,0,10,beta,anxious,mean_rhyme_level,0.3125,100,31.25
2021-06-18-07-35-31,0,10,beta,anxious,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-35-31,0,10,beta,anxious,mean_alliteration_total,2.625,5,13.125
2021-06-18-07-35-31,0,10,beta,anxious,mean_couplet_phoneme_consistency,4.125,1,4.125
2021-06-18-07-36-06,0,10,beta,embarrassed,mean_rhyme_level,0.625,100,62.5
2021-06-18-07-36-06,0,10,beta,embarrassed,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-36-06,0,10,beta,embarrassed,mean_alliteration_total,2.625,5,13.125
2021-06-18-07-36-06,0,10,beta,embarrassed,mean_couplet_phoneme_consistency,4.5,1,4.5
2021-06-18-07-36-41,0,10,beta,esteemed,mean_rhyme_level,0.375,100,37.5
2021-06-18-07-36-41,0,10,beta,esteemed,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-36-41,0,10,beta,esteemed,mean_alliteration_total,1.5,5,7.5
2021-06-18-07-36-41,0,10,beta,esteemed,mean_couplet_phoneme_consistency,2.625,1,2.625
2021-06-18-07-37-16,0,10,beta,safe,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-37-16,0,10,beta,safe,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-37-16,0,10,beta,safe,mean_alliteration_total,1.75,5,8.75
2021-06-18-07-37-16,0,10,beta,safe,mean_couplet_phoneme_consistency,6.75,1,6.75
2021-06-18-07-37-51,0,10,beta,lost,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-37-51,0,10,beta,lost,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-07-37-51,0,10,beta,lost,mean_alliteration_total,1.875,5,9.375
2021-06-18-07-37-51,0,10,beta,lost,mean_couplet_phoneme_consistency,6.125,1,6.125
2021-06-18-07-38-26,0,10,beta,alone,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-38-26,0,10,beta,alone,mean_longest_alliteration_chain,0.125,50,6.25
2021-06-18-07-38-26,0,10,beta,alone,mean_alliteration_total,1.5,5,7.5
2021-06-18-07-38-26,0,10,beta,alone,mean_couplet_phoneme_consistency,2.875,1,2.875
2021-06-18-07-39-01,0,10,beta,singledout,mean_rhyme_level,0,100,0
2021-06-18-07-39-01,0,10,beta,singledout,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-39-01,0,10,beta,singledout,mean_alliteration_total,2.25,5,11.25
2021-06-18-07-39-01,0,10,beta,singledout,mean_couplet_phoneme_consistency,4.625,1,4.625
2021-06-18-07-39-36,0,10,beta,fearful,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-39-36,0,10,beta,fearful,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-07-39-36,0,10,beta,fearful,mean_alliteration_total,1.625,5,8.125
2021-06-18-07-39-36,0,10,beta,fearful,mean_couplet_phoneme_consistency,6,1,6
2021-06-18-07-40-11,0,10,beta,fearless,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-40-11,0,10,beta,fearless,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-40-11,0,10,beta,fearless,mean_alliteration_total,2.375,5,11.875
2021-06-18-07-40-11,0,10,beta,fearless,mean_couplet_phoneme_consistency,5.5,1,5.5
2021-06-18-07-40-46,0,10,beta,lustful,mean_rhyme_level,0,100,0
2021-06-18-07-40-46,0,10,beta,lustful,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-40-46,0,10,beta,lustful,mean_alliteration_total,2.125,5,10.625
2021-06-18-07-40-46,0,10,beta,lustful,mean_couplet_phoneme_consistency,6.25,1,6.25
2021-06-18-07-41-21,0,10,beta,hated,mean_rhyme_level,0.375,100,37.5
2021-06-18-07-41-21,0,10,beta,hated,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-41-21,0,10,beta,hated,mean_alliteration_total,2.375,5,11.875
2021-06-18-07-41-21,0,10,beta,hated,mean_couplet_phoneme_consistency,4.375,1,4.375
2021-06-18-07-41-56,0,10,beta,independent,mean_rhyme_level,0.375,100,37.5
2021-06-18-07-41-56,0,10,beta,independent,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-41-56,0,10,beta,independent,mean_alliteration_total,2.375,5,11.875
2021-06-18-07-41-56,0,10,beta,independent,mean_couplet_phoneme_consistency,4.375,1,4.375
2021-06-18-07-42-31,0,10,beta,free,mean_rhyme_level,0,100,0
2021-06-18-07-42-31,0,10,beta,free,mean_longest_alliteration_chain,0.125,50,6.25
2021-06-18-07-42-31,0,10,beta,free,mean_alliteration_total,2.25,5,11.25
2021-06-18-07-42-31,0,10,beta,free,mean_couplet_phoneme_consistency,5.875,1,5.875
2021-06-18-07-43-06,0,10,beta,attracted,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-43-06,0,10,beta,attracted,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-43-06,0,10,beta,attracted,mean_alliteration_total,2.125,5,10.625
2021-06-18-07-43-06,0,10,beta,attracted,mean_couplet_phoneme_consistency,5.375,1,5.375
2021-06-18-07-43-41,0,10,beta,happy,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-43-41,0,10,beta,happy,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-43-41,0,10,beta,happy,mean_alliteration_total,2,5,10
2021-06-18-07-43-41,0,10,beta,happy,mean_couplet_phoneme_consistency,6,1,6
2021-06-18-07-44-16,0,10,beta,sad,mean_rhyme_level,0,100,0
2021-06-18-07-44-16,0,10,beta,sad,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-44-16,0,10,beta,sad,mean_alliteration_total,1.75,5,8.75
2021-06-18-07-44-16,0,10,beta,sad,mean_couplet_phoneme_consistency,3.125,1,3.125
2021-06-18-07-44-51,0,10,beta,derailed,mean_rhyme_level,0,100,0
2021-06-18-07-44-51,0,10,beta,derailed,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-44-51,0,10,beta,derailed,mean_alliteration_total,1.625,5,8.125
2021-06-18-07-44-51,0,10,beta,derailed,mean_couplet_phoneme_consistency,5.125,1,5.125
2021-06-18-07-45-26,0,10,beta,average,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-45-26,0,10,beta,average,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-45-26,0,10,beta,average,mean_alliteration_total,2,5,10
2021-06-18-07-45-26,0,10,beta,average,mean_couplet_phoneme_consistency,3.375,1,3.375
2021-06-18-07-46-01,0,10,beta,powerless,mean_rhyme_level,0.375,100,37.5
2021-06-18-07-46-01,0,10,beta,powerless,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-07-46-01,0,10,beta,powerless,mean_alliteration_total,2,5,10
2021-06-18-07-46-01,0,10,beta,powerless,mean_couplet_phoneme_consistency,3.375,1,3.375
2021-06-18-07-46-36,0,10,beta,attached,mean_rhyme_level,0.375,100,37.5
2021-06-18-07-46-36,0,10,beta,attached,mean_longest_alliteration_chain,0.125,50,6.25
2021-06-18-07-46-36,0,10,beta,attached,mean_alliteration_total,1.5,5,7.5
2021-06-18-07-46-36,0,10,beta,attached,mean_couplet_phoneme_consistency,6.25,1,6.25
2021-06-18-07-47-11,0,10,beta,angry,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-47-11,0,10,beta,angry,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-07-47-11,0,10,beta,angry,mean_alliteration_total,1.375,5,6.875
2021-06-18-07-47-11,0,10,beta,angry,mean_couplet_phoneme_consistency,5.75,1,5.75
2021-06-18-07-47-46,0,10,beta,loved,mean_rhyme_level,0,100,0
2021-06-18-07-47-46,0,10,beta,loved,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-07-47-46,0,10,beta,loved,mean_alliteration_total,1.875,5,9.375
2021-06-18-07-47-46,0,10,beta,loved,mean_couplet_phoneme_consistency,6.25,1,6.25
2021-06-18-07-48-21,0,10,beta,cheated,mean_rhyme_level,0,100,0
2021-06-18-07-48-21,0,10,beta,cheated,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-07-48-21,0,10,beta,cheated,mean_alliteration_total,2.5,5,12.5
2021-06-18-07-48-21,0,10,beta,cheated,mean_couplet_phoneme_consistency,2.25,1,2.25
2021-06-18-07-48-56,0,10,beta,surprise,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-48-56,0,10,beta,surprise,mean_longest_alliteration_chain,0,50,0
2021-06-18-07-48-56,0,10,beta,surprise,mean_alliteration_total,0.5,5,2.5
2021-06-18-07-48-56,0,10,beta,surprise,mean_couplet_phoneme_consistency,5.375,1,5.375
2021-06-18-08-07-52,0,10,delta,apathetic,mean_rhyme_level,0.4375,100,43.75
2021-06-18-08-07-52,0,10,delta,apathetic,mean_longest_alliteration_chain,1,50,50
2021-06-18-08-07-52,0,10,delta,apathetic,mean_alliteration_total,2.75,5,13.75
2021-06-18-08-07-52,0,10,delta,apathetic,mean_couplet_phoneme_consistency,4.375,1,4.375
2021-06-18-08-09-33,0,10,delta,anxious,mean_rhyme_level,0.375,100,37.5
2021-06-18-08-09-33,0,10,delta,anxious,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-08-09-33,0,10,delta,anxious,mean_alliteration_total,3,5,15
2021-06-18-08-09-33,0,10,delta,anxious,mean_couplet_phoneme_consistency,3,1,3
2021-06-18-08-11-12,0,10,delta,embarrassed,mean_rhyme_level,0.5,100,50.0
2021-06-18-08-11-12,0,10,delta,embarrassed,mean_longest_alliteration_chain,1,50,50
2021-06-18-08-11-12,0,10,delta,embarrassed,mean_alliteration_total,3.5,5,17.5
2021-06-18-08-11-12,0,10,delta,embarrassed,mean_couplet_phoneme_consistency,4.75,1,4.75
2021-06-18-08-12-48,0,10,delta,esteemed,mean_rhyme_level,0,100,0
2021-06-18-08-12-48,0,10,delta,esteemed,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-08-12-48,0,10,delta,esteemed,mean_alliteration_total,2.125,5,10.625
2021-06-18-08-12-48,0,10,delta,esteemed,mean_couplet_phoneme_consistency,2.5,1,2.5
2021-06-18-08-14-24,0,10,delta,safe,mean_rhyme_level,0.125,100,12.5
2021-06-18-08-14-24,0,10,delta,safe,mean_longest_alliteration_chain,1,50,50
2021-06-18-08-14-24,0,10,delta,safe,mean_alliteration_total,2.625,5,13.125
2021-06-18-08-14-24,0,10,delta,safe,mean_couplet_phoneme_consistency,6.625,1,6.625
2021-06-18-08-16-02,0,10,delta,lost,mean_rhyme_level,0.25,100,25.0
2021-06-18-08-16-02,0,10,delta,lost,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-16-02,0,10,delta,lost,mean_alliteration_total,2.625,5,13.125
2021-06-18-08-16-02,0,10,delta,lost,mean_couplet_phoneme_consistency,5,1,5
2021-06-18-08-17-42,0,10,delta,alone,mean_rhyme_level,0.125,100,12.5
2021-06-18-08-17-42,0,10,delta,alone,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-08-17-42,0,10,delta,alone,mean_alliteration_total,2.5,5,12.5
2021-06-18-08-17-42,0,10,delta,alone,mean_couplet_phoneme_consistency,5.5,1,5.5
2021-06-18-08-19-20,0,10,delta,singledout,mean_rhyme_level,0,100,0
2021-06-18-08-19-20,0,10,delta,singledout,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-08-19-20,0,10,delta,singledout,mean_alliteration_total,2.625,5,13.125
2021-06-18-08-19-20,0,10,delta,singledout,mean_couplet_phoneme_consistency,2.25,1,2.25
2021-06-18-08-20-52,0,10,delta,fearful,mean_rhyme_level,0,100,0
2021-06-18-08-20-52,0,10,delta,fearful,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-08-20-52,0,10,delta,fearful,mean_alliteration_total,2.375,5,11.875
2021-06-18-08-20-52,0,10,delta,fearful,mean_couplet_phoneme_consistency,3.875,1,3.875
2021-06-18-08-22-33,0,10,delta,fearless,mean_rhyme_level,0.25,100,25.0
2021-06-18-08-22-33,0,10,delta,fearless,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-08-22-33,0,10,delta,fearless,mean_alliteration_total,3.125,5,15.625
2021-06-18-08-22-33,0,10,delta,fearless,mean_couplet_phoneme_consistency,5.875,1,5.875
2021-06-18-08-24-13,0,10,delta,lustful,mean_rhyme_level,0.25,100,25.0
2021-06-18-08-24-13,0,10,delta,lustful,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-24-13,0,10,delta,lustful,mean_alliteration_total,2.375,5,11.875
2021-06-18-08-24-13,0,10,delta,lustful,mean_couplet_phoneme_consistency,5.375,1,5.375
2021-06-18-08-25-54,0,10,delta,hated,mean_rhyme_level,0.125,100,12.5
2021-06-18-08-25-54,0,10,delta,hated,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-25-54,0,10,delta,hated,mean_alliteration_total,3.125,5,15.625
2021-06-18-08-25-54,0,10,delta,hated,mean_couplet_phoneme_consistency,4.125,1,4.125
2021-06-18-08-27-30,0,10,delta,independent,mean_rhyme_level,0.125,100,12.5
2021-06-18-08-27-30,0,10,delta,independent,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-27-30,0,10,delta,independent,mean_alliteration_total,2.75,5,13.75
2021-06-18-08-27-30,0,10,delta,independent,mean_couplet_phoneme_consistency,4.875,1,4.875
2021-06-18-08-29-10,0,10,delta,free,mean_rhyme_level,0.15625,100,15.625
2021-06-18-08-29-10,0,10,delta,free,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-08-29-10,0,10,delta,free,mean_alliteration_total,3.125,5,15.625
2021-06-18-08-29-10,0,10,delta,free,mean_couplet_phoneme_consistency,7,1,7
2021-06-18-08-30-51,0,10,delta,attracted,mean_rhyme_level,0,100,0
2021-06-18-08-30-51,0,10,delta,attracted,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-30-51,0,10,delta,attracted,mean_alliteration_total,2.625,5,13.125
2021-06-18-08-30-51,0,10,delta,attracted,mean_couplet_phoneme_consistency,1.875,1,1.875
2021-06-18-08-32-30,0,10,delta,happy,mean_rhyme_level,0.125,100,12.5
2021-06-18-08-32-30,0,10,delta,happy,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-32-30,0,10,delta,happy,mean_alliteration_total,2.25,5,11.25
2021-06-18-08-32-30,0,10,delta,happy,mean_couplet_phoneme_consistency,1.375,1,1.375
2021-06-18-08-34-02,0,10,delta,sad,mean_rhyme_level,0,100,0
2021-06-18-08-34-02,0,10,delta,sad,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-08-34-02,0,10,delta,sad,mean_alliteration_total,1.625,5,8.125
2021-06-18-08-34-02,0,10,delta,sad,mean_couplet_phoneme_consistency,3.5,1,3.5
2021-06-18-08-35-38,0,10,delta,derailed,mean_rhyme_level,0,100,0
2021-06-18-08-35-38,0,10,delta,derailed,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-08-35-38,0,10,delta,derailed,mean_alliteration_total,2.5,5,12.5
2021-06-18-08-35-38,0,10,delta,derailed,mean_couplet_phoneme_consistency,4.25,1,4.25
2021-06-18-08-37-13,0,10,delta,average,mean_rhyme_level,0.25,100,25.0
2021-06-18-08-37-13,0,10,delta,average,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-08-37-13,0,10,delta,average,mean_alliteration_total,2.75,5,13.75
2021-06-18-08-37-13,0,10,delta,average,mean_couplet_phoneme_consistency,4.5,1,4.5
2021-06-18-08-38-57,0,10,delta,powerless,mean_rhyme_level,0.25,100,25.0
2021-06-18-08-38-57,0,10,delta,powerless,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-38-57,0,10,delta,powerless,mean_alliteration_total,3.375,5,16.875
2021-06-18-08-38-57,0,10,delta,powerless,mean_couplet_phoneme_consistency,3.125,1,3.125
2021-06-18-08-40-32,0,10,delta,attached,mean_rhyme_level,0,100,0
2021-06-18-08-40-32,0,10,delta,attached,mean_longest_alliteration_chain,0.125,50,6.25
2021-06-18-08-40-32,0,10,delta,attached,mean_alliteration_total,1.875,5,9.375
2021-06-18-08-40-32,0,10,delta,attached,mean_couplet_phoneme_consistency,5.25,1,5.25
2021-06-18-08-42-04,0,10,delta,angry,mean_rhyme_level,0.25,100,25.0
2021-06-18-08-42-04,0,10,delta,angry,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-08-42-04,0,10,delta,angry,mean_alliteration_total,2.125,5,10.625
2021-06-18-08-42-04,0,10,delta,angry,mean_couplet_phoneme_consistency,2.875,1,2.875
2021-06-18-08-43-41,0,10,delta,loved,mean_rhyme_level,0.625,100,62.5
2021-06-18-08-43-41,0,10,delta,loved,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-08-43-41,0,10,delta,loved,mean_alliteration_total,2.75,5,13.75
2021-06-18-08-43-41,0,10,delta,loved,mean_couplet_phoneme_consistency,2.75,1,2.75
2021-06-18-08-45-15,0,10,delta,cheated,mean_rhyme_level,0,100,0
2021-06-18-08-45-15,0,10,delta,cheated,mean_longest_alliteration_chain,0.375,50,18.75
2021-06-18-08-45-15,0,10,delta,cheated,mean_alliteration_total,2.75,5,13.75
2021-06-18-08-45-15,0,10,delta,cheated,mean_couplet_phoneme_consistency,3.375,1,3.375
2021-06-18-08-46-55,0,10,delta,surprise,mean_rhyme_level,0,100,0
2021-06-18-08-46-55,0,10,delta,surprise,mean_longest_alliteration_chain,0.25,50,12.5
2021-06-18-08-46-55,0,10,delta,surprise,mean_alliteration_total,2.25,5,11.25
2021-06-18-08-46-55,0,10,delta,surprise,mean_couplet_phoneme_consistency,3.625,1,3.625
2021-06-18-08-49-12,0,10,epsilon,apathetic,mean_rhyme_level,0,100,0
2021-06-18-08-49-12,0,10,epsilon,apathetic,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-08-49-12,0,10,epsilon,apathetic,mean_alliteration_total,2.5,5,12.5
2021-06-18-08-49-12,0,10,epsilon,apathetic,mean_couplet_phoneme_consistency,4.375,1,4.375
